REL,RF,NPC,PFC,WCC,AFR
0.892892893,0.697172172,146187716,0.01893217,0.024550266,5855.466853
0.826826827,0.062487487,69955970.69,0.083350352,0.000536005,7829.664389
0.892892893,0.04964965,197847000.3,0.029606591,0.003150559,7829.664389
0.901901902,0.44476977,155806402.3,#NAME?,0.007024762,5855.466853
0.790790791,0.327502503,0,0.030878006,0.002484811,5855.466853
0.870870871,0.072022022,82478947.63,0.073649803,0.003919632,7829.664389
0.95995996,0.478978979,308670514.1,0.014472413,0.030404446,4524.187321
0.940940941,0.918343343,101955949.6,0.0895074,0.023388461,9220.348761
0.934934935,0.934984985,227731934.6,0.035553176,0.011858529,4524.187321
0.95995996,0.12962963,299746367.8,0.022227445,0.007039392,5855.466853
0.863863864,0.214164164,76231745.31,0.038160752,0.002103447,7829.664389
0.95995996,0.913388388,175231656.3,#NAME?,0.011190708,9220.348761
0.8998999,0.164214214,178870234.7,0.008437721,0.023195997,4524.187321
0.913913914,0.174399399,178336749.8,0.042135519,0.001133065,7829.664389
0.958958959,0.15497998,275999122,0.018179308,0.018322492,5855.466853
0.951951952,0.116941942,209708700.8,0.094346051,0,9220.348761
0.871871872,0.075475475,152556210.3,0.008436361,0.019319083,4524.187321
0.903903904,0.060435435,193445481.2,0.024021876,0.008603269,4524.187321
0.907907908,0.405805806,167594152.4,0.024317252,0.010212149,7829.664389
0.94994995,0.706656657,228955273.3,0.02771226,0.022175071,7829.664389
0.855855856,0.111086086,76231745.31,0.008849629,0.021516404,7829.664389
0.888888889,0.050425425,167863505.7,0.020809482,0.014321545,4524.187321
0.906906907,0.052252252,189677478.7,0.039198057,0.006050047,9220.348761
0.960960961,0.857582583,214979549.5,0.085524261,0.024933191,9220.348761
0.96996997,0.909034034,404112951.5,0.039547485,0.011416264,7829.664389
0.955955956,0.048898899,286211436.8,0.02940788,0.013244554,7829.664389
0.91991992,0.04974975,218478201.1,0.016594301,0.017939912,4524.187321
0.927927928,0.051926927,138203929.2,0.089792513,0.008954088,9220.348761
0.854854855,0.707457457,76231745.31,0.029645985,0.007723719,4524.187321
0.933933934,0.422397397,237135784.8,0.009407073,0.025193217,4524.187321
0.932932933,0.371746747,69955970.69,0.08172746,0.009712366,9220.348761
0.964964965,0.774374374,278497150.8,0.029116781,0.012830884,7829.664389
0.957957958,0.063413413,308670514.1,0.04160788,0.004080707,5855.466853
0.956956957,0.360635636,307402785.4,0.026818782,0.014742286,4524.187321
0.908908909,0.054554555,193031803,0.022882845,0.013040148,7829.664389
0.921921922,0.13018018,189677478.7,0.026055566,0.008121609,7829.664389
0.853853854,0.531031031,76231745.31,0.044322356,0.006883628,4524.187321
0.928928929,0.536661662,204602169.9,0.026653782,0.018978273,5855.466853
0.916916917,0.101926927,188720278.2,0.00871941,0.023157656,7829.664389
0.963963964,0.855980981,212936173.5,0.089919318,0.029374618,9220.348761
0.953953954,0.071521522,272657622.6,0.020202886,0.014920299,5855.466853
0.944944945,0.049199199,269353185.6,0.027076375,0.010963686,4524.187321
0.966966967,0.873098098,287975539.7,#NAME?,0.006875571,7829.664389
0.968968969,0.801051051,285616659.2,0.025361081,0.021865413,7829.664389
0.847847848,0.133833834,76231745.31,0.021742785,0.014072373,4524.187321
0.956956957,0.296421421,294272769.9,0.025024471,0.022044669,4524.187321
0.942942943,0.06961962,250234095.2,0.019736471,0.015584189,7829.664389
0.95995996,0.662512513,257809143.7,0.028458346,0.019479991,7829.664389
0.880880881,0.952652653,76231745.31,0.038693828,0.019597121,5855.466853
0.883883884,0.151076076,147250624.8,0.02924568,0.003166261,5855.466853
0.924924925,0.049149149,252972970.4,0.012090391,0.018336922,4524.187321
0.924924925,0.083533534,217520799.1,0.026795391,0.004096122,5855.466853
0.92992993,0.919469469,194724376.2,0.029511227,0.010595989,5855.466853
