REL,RF,NPC,PFC,WCC,,,,,,REL,RF,NPC,PFC,WCC
0.924924925,0.088488488,81273603.72,0.075978453,0.01482704,,,,,,,,,,
0.946946947,0.126626627,158292276,0.094299699,0,,,,,,,,,,
0.944944945,0.053953954,187884301,0.081649581,0.003144078,,,,,,,,,,
0.933933934,0.051951952,149522790,0.082470168,0.007462383,,,,,,,,,,
0.968968969,0.923273273,279936781.6,0.052180177,0.014221019,,,,,,,,,,
0.953953954,0.083183183,195585517.2,0.082108395,0.006821894,,,,,,,,,,
0.956956957,0.220695696,179591231.9,0.092327863,0.001379547,,,,,,,,,,
0.955955956,0.048848849,299033908.3,0.030497644,0.004745788,,,,,,,,,,
0.933933934,0.051676677,153708763.4,0.076808499,0.014825688,,,,,,,,,,
0.951951952,0.139014014,173990456,0.087287093,0.012618113,,,,,,,,,,
0.954954955,0.092867868,189245676.6,0.096036199,0,,,,,,,,,,
0.930930931,0.051926927,129338562.2,0.089370761,0.002867041,,,,,,,,,,
0.86986987,0.058758759,82738903.89,0.058966313,0.0163427,,,,,,,,,,
0.944944945,0.049199199,266757632.8,0.010629613,0.019677071,,,,,,,,,,
0.944944945,0.119894895,143213239.3,0.093533759,0.001838385,,,,,,,,,,
0.932932933,0.066716717,138989744.4,0.088572327,0,,,,,,,,,,
0.950950951,0.049074074,277628200,0.019331735,0.014976214,,,,,,,,,,
0.948948949,0.051476476,207790688.3,0.082785166,0.00138522,,,,,,,,,,
0.958958959,0.075725726,288841330.9,0.007371435,0.022466967,,,,,,,,,,
0.921921922,0.077277277,74562159.84,0.077915803,0.014825688,,,,,,,,,,
0.746746747,0.091316316,0,0.019532405,0.004802264,,,,,,,,,,
0.954954955,0.072372372,231838823.4,0.077644339,0.014825688,,,,,,,,,,
0.911911912,0.3253003,0,0.099960216,0.004056415,,,,,,,,,,
0.855855856,0.114814815,76231745.31,0.02379474,0.014609592,,,,,,,,,,
0.8998999,0.050225225,184369761.4,0.023296393,0.00991698,,,,,,,,,,
0.943943944,0.489514515,126519157.5,0.087871107,0.002621366,,,,,,,,,,
0.947947948,0.125975976,161933361.6,0.090395464,0.007990837,,,,,,,,,,
0.887887888,0.049974975,177174891.8,0.02660077,0.012963001,,,,,,,,,,
0.888888889,0.051501502,164524258.3,0.023916244,0.007693839,,,,,,,,,,
0.950950951,0.07007007,266757632.8,0.009954628,0.021882654,,,,,,,,,,
0.966966967,0.642042042,287028844.8,0.046939389,0.011738563,,,,,,,,,,
0.924924925,0.088763764,69955970.69,0.088854949,0.010656876,,,,,,,,,,
0.935935936,0.589114114,70764897.93,0.092495923,0.011332217,,,,,,,,,,
0.958958959,0.080930931,288228286.5,0.033163394,0.003787541,,,,,,,,,,
0.906906907,0.052277277,188188246.2,0.019387016,0.018795275,,,,,,,,,,
0.943943944,0.051401401,173406084.1,0.086596806,0,,,,,,,,,,
0.935935936,0.103378378,141523529.7,0.083551092,0.002158926,,,,,,,,,,
0.957957958,0.121646647,194269784.1,0.077491012,0.01481225,,,,,,,,,,
0.960960961,0.289389389,200377446.9,0.079250515,0.015018325,,,,,,,,,,
0.924924925,0.09486987,82384993.57,0.088016385,0,,,,,,,,,,
0.906906907,0.057432432,187586192.7,0.022143215,0.01366259,,,,,,,,,,
0.911911912,0.316091091,0,0.109446347,0,,,,,,,,,,
0.952952953,0.211836837,164111433.5,0.091084468,0.007957841,,,,,,,,,,
0.931931932,0.069694695,228020443.8,0.02693253,0.008136291,,,,,,,,,,
0.954954955,0.098148148,198665911.7,0.084488227,0.000590314,,,,,,,,,,
