REL,RF,NPC,PFC,WCC
0.984484484,0.894319319,316357590.4,0.041723419,0.008910906
0.971971972,0.678328328,119078489.1,0.088435638,0.003592481
0.922422422,0.055205205,166387611.2,0.018978121,0.008045541
0.985485485,0.238138138,306140999,0.090548384,0.000229996
0.964964965,0.118543544,89346100.53,0.092940162,0
0.982482482,0.688013013,278255323.9,0.009111548,0.031433154
0.952452452,0.067517518,185259544.1,0.022432979,0.009753266
0.970970971,0.075475475,248135337.6,0.026573192,0.00713792
0.938438438,0.051401401,149730636.7,0.030295114,0.009099384
0.981481481,0.854604605,214811530.4,0.069526121,0.01847394
0.971971972,0.606956957,121615255,0.088992348,0.002435263
0.984484484,0.894594595,226992625.9,0.093810247,0.006595199
0.981481481,0.608533534,277628200,0.038367516,0.006779862
0.97047047,0.066866867,249991307.6,0.031158768,0.001951188
0.947947948,0.057607608,153366031.2,0.07142467,0.004905585
0.873873874,0.168618619,0,0.007268958,0.014399028
0.968468468,0.10487988,123634162.4,0.08825586,0.011795969
0.983483483,0.917392392,232108677.1,0.058327486,0.027867151
0.971471471,0.137687688,129900765.2,#NAME?,0.008039915
0.982982983,0.883533534,229583424.2,0.082019455,0.002564104
0.984484484,0.860285285,301437721.6,0.029456483,0.013869701
0.982482482,0.821121121,277628200,0.038714279,0.008373282
0.953953954,0.063713714,186768610.2,0.042119281,0.004657253
0.97047047,0.102252252,150691194.4,0.08792781,0
0.982482482,0.85985986,265755163.3,0.027780938,0.023043933
0.975475475,0.553128128,144801336.4,0.091135827,0.011355995
0.963463463,0.05452953,120432701,0.077990038,0.014825688
0.971971972,0.049224224,263168536.9,0.014602373,0.019546401
0.981981982,0.59964965,279058447.3,0.00772618,0.030248733
0.983983984,0.518293293,230160012.8,0.081874051,0.016007706
0.974474474,0.5254004,139563210.3,0.092735683,0.011064147
0.89039039,0.061611612,76231745.31,0.019370336,0.002914863
0.962962963,0.052002002,128928606.6,0.093334829,0
0.969469469,0.890590591,84426436.16,0.07831013,0.031408108
0.956456456,0.04984985,206057962,0.009826034,0.019271978
0.964464464,0.117192192,80006248.29,0.07936582,0.014399028
0.973473473,0.916166166,121347586.4,0.094698242,0.009027298
0.964964965,0.063263263,124230639.8,0.08037277,0.014774467
0.977977978,0.130055055,191955920.8,0.093080881,0.007947324
0.983483483,0.776001001,282590356.7,0.052363242,0.000819858
0.981481481,0.779254254,259664238.6,0.018290452,0.027013074
0.985485485,0.923023023,289882406.9,0.030414052,0.02851078
0.983483483,0.673748749,276154243.9,0.077681759,0.022516558
0.983483483,0.459284284,332221093.5,0.031043057,0.018126802
