0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0water_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1water_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
62.6982,85.139,0.951603,0.08,0,2.60668,2.68695,0,0.488287,4.47552,3.94875e+06,1.02931e+07,0,316768,0,0,87.723,98.274,0.931531,0,1,1.71469,1.63443,0,1.32477,2.1168,8.20631e+06,1.40713e+07,0,386263,0,0
61.0614,85.139,1.09651,0.08,0,2.53835,2.6182,0,0.488492,4.47552,3.94875e+06,1.00233e+07,0,308664,0,0,87.0541,98.274,1.07624,0,1,1.63948,1.55963,0,1.32477,2.1168,8.20631e+06,1.3454e+07,0,368584,0,0
59.1212,85.139,0.663835,0.13,0,2.46421,2.61887,0,0.475687,4.47552,3.94875e+06,9.73056e+06,0,308742,0,0,86.8254,98.274,0.933252,0,1,1.71468,1.56002,0,1.26666,2.1168,8.20631e+06,1.40712e+07,0,368678,0,0
58.4825,85.139,2.06331,0.13,0,2.46527,2.61953,0,0.461793,4.47552,3.94875e+06,9.73475e+06,0,308820,0,0,86.4728,98.274,2.90682,0,1,1.71468,1.56042,0,1.32476,2.1168,8.20631e+06,1.40712e+07,0,368772,0,0
57.4847,85.139,1.69244,0.13,0,2.46633,2.6202,0,0.461992,4.47552,3.94875e+06,9.73894e+06,0,308899,0,0,86.2646,98.274,1.59592,0,1,1.71468,1.56082,0,1.32476,2.1168,8.20631e+06,1.40712e+07,0,368865,0,0
56.4718,85.139,1.48103,0.13,0,2.27001,2.42348,0,0.462191,4.47552,3.94875e+06,8.96372e+06,0,285708,0,0,86.3267,98.274,1.52167,0,1,1.55786,1.40439,0,1.32476,2.1168,8.20631e+06,1.27843e+07,0,331898,0,0
57.0823,85.139,3.08187,0.14,0,2.12169,2.42409,0,0.425401,4.47552,3.94875e+06,8.37804e+06,0,285780,0,0,85.9133,98.274,2.32818,0,1,1.70715,1.40475,0,1.2036,2.1168,8.20631e+06,1.40094e+07,0,331982,0,0
57.1549,85.139,2.527,0.13,0,2.12231,2.42471,0,0.397606,4.47552,3.94875e+06,8.38047e+06,0,285853,0,0,85.2905,98.274,1.68059,0,1,1.70751,1.40511,0,1.31894,2.1168,8.20631e+06,1.40123e+07,0,332067,0,0
56.8757,85.139,2.1344,0.13,0,2.12293,2.42533,0,0.397721,4.47552,3.94875e+06,8.3829e+06,0,285925,0,0,85.2281,98.274,1.63968,0,1,1.70786,1.40546,0,1.31922,2.1168,8.20631e+06,1.40152e+07,0,332151,0,0
58.3436,85.139,4.15813,0.14,0,2.12354,2.42594,0,0.397836,4.47552,3.94875e+06,8.38533e+06,0,285998,0,0,85.3303,98.274,2.42079,0,1,1.70822,1.40582,0,1.31949,2.1168,8.20631e+06,1.40182e+07,0,332235,0,0
57.6432,85.139,1.95659,0.14,0,2.20017,2.50257,0,0.397952,4.47552,3.94875e+06,8.6879e+06,0,295031,0,0,85.3756,98.274,2.51858,0,1,1.75404,1.45164,0,1.31977,2.1168,8.20631e+06,1.43942e+07,0,343063,0,0
57.4293,85.139,2.42503,0.15,0,2.24054,2.50318,0,0.412311,4.47552,3.94875e+06,8.84733e+06,380760,295104,0,0,85.6066,98.274,2.76962,0,1,1.71464,1.452,0,1.35517,2.1168,8.20631e+06,1.40708e+07,221139,343148,0,0
59.4899,85.139,4.73861,0.15,0,2.24151,2.5038,0,0.419877,4.47552,3.94875e+06,8.85117e+06,717750,295176,0,0,86.4708,98.274,4.08819,0,1,1.71464,1.45235,0,1.32473,2.1168,8.20631e+06,1.40708e+07,558346,343232,0,0
62.4347,85.139,5.71442,0.15,0,2.24248,2.50441,0,0.420059,4.47552,3.94875e+06,8.85501e+06,716773,295249,0,0,87.3562,98.274,4.22743,0,1,1.71464,1.45271,0,1.32473,2.1168,8.20631e+06,1.40708e+07,557586,343317,0,0
67.4512,85.139,8.04437,0.15,0,2.48779,2.74936,0,0.420242,4.47552,3.94875e+06,9.82367e+06,715795,324127,0,0,88.1221,98.274,4.62149,0,1,1.88549,1.62392,0,1.32473,2.1168,8.20631e+06,1.54729e+07,556825,383778,0,0
68.5378,85.139,4.16678,0.11,0,2.65968,2.75004,0,0.466212,4.47552,3.94875e+06,1.05024e+07,247281,324206,0,0,88.4021,98.274,3.12431,0,1,1.71468,1.62432,0,1.45673,2.1168,8.20631e+06,1.40712e+07,192363,383872,0,0
69.7918,85.139,4.38963,0.08,0,2.66075,2.75072,0,0.498423,4.47552,3.94875e+06,1.05066e+07,0,324286,0,0,89.0919,98.274,2.91476,0,1,1.71468,1.62472,0,1.32476,2.1168,8.20631e+06,1.40712e+07,0,383967,0,0
71.1191,85.139,4.4552,0.09,0,2.66183,2.75139,0,0.498625,4.47552,3.94875e+06,1.05109e+07,0,324366,0,0,90.0096,98.274,4.0993,0,1,1.71468,1.62512,0,1.32476,2.1168,8.20631e+06,1.40712e+07,0,384061,0,0
73.4176,85.139,5.15125,0.09,0,2.31406,2.40323,0,0.498827,4.47552,3.94875e+06,9.13766e+06,0,283320,0,0,90.5574,98.274,3.84819,0,1,1.48517,1.39601,0,1.32476,2.1168,8.20631e+06,1.21878e+07,0,329916,0,0
74.7586,85.139,3.9347,0.09,0,2.10142,2.40382,0,0.433655,4.47552,3.94875e+06,8.29798e+06,0,283390,0,0,91.3654,98.274,3.17495,0,1,1.69875,1.39635,0,1.14744,2.1168,8.20631e+06,1.39405e+07,0,329997,0,0
77.5958,85.139,5.56846,0.05,0,2.10201,2.40441,0,0.393806,4.47552,3.94875e+06,8.30031e+06,694327,283460,0,0,92.9883,98.274,5.22679,0,1,1.69909,1.39669,0,1.31245,2.1168,8.20631e+06,1.39433e+07,510543,330079,0,0
79.8112,85.139,4.96445,0.07,0,2.1026,2.405,0,0.393917,4.47552,3.94875e+06,8.30265e+06,827527,283529,0,0,93.5592,98.274,3.55185,0,1,1.69944,1.39704,0,1.31272,2.1168,8.20631e+06,1.39461e+07,643743,330160,0,0
81.2083,85.139,4.09955,0.04,0,2.10319,2.40559,0,0.394027,4.47552,3.94875e+06,8.30498e+06,827527,283599,0,0,94.3746,98.274,3.06245,0,1,1.69978,1.39738,0,1.31299,2.1168,8.20631e+06,1.39489e+07,643743,330241,0,0
83.4175,85.139,5.05778,0.05,0,2.1917,2.4941,0,0.394138,4.47552,3.94875e+06,8.65448e+06,827527,294033,0,0,95.1737,98.274,3.80486,0,1,1.75634,1.45394,0,1.31325,2.1168,8.20631e+06,1.44131e+07,643743,343608,0,0
85.139,85.139,6.10015,0.05,0,2.23438,2.49471,0,0.410725,4.47552,3.94875e+06,8.82299e+06,712427,294106,0,0,96.1406,98.274,4.756,0,1,1.71464,1.4543,0,1.35695,2.1168,8.20631e+06,1.40708e+07,554205,343692,0,0
85.139,85.139,4.27254,0.05,0,2.23535,2.49533,0,0.418722,4.47552,3.94875e+06,8.82683e+06,711448,294178,0,0,96.5782,98.274,3.33534,0,1,1.71464,1.45466,0,1.32473,2.1168,8.20631e+06,1.40708e+07,553444,343777,0,0
85.139,85.139,3.70853,0.05,0,2.23632,2.49594,0,0.418904,4.47552,3.94875e+06,8.83066e+06,710469,294251,0,0,96.6433,98.274,2.84842,0,1,1.71464,1.45501,0,1.32473,2.1168,8.20631e+06,1.40708e+07,552682,343861,0,0
85.139,85.139,2.95966,0.05,0,2.20288,2.46215,0,0.419086,4.47552,3.94875e+06,8.69863e+06,709490,290266,0,0,96.5484,98.274,2.38584,0,1,1.69278,1.43352,0,1.32473,2.1168,8.20631e+06,1.38915e+07,551920,338781,0,0
85.1132,85.139,2.54685,0.05,0,2.18199,2.46275,0,0.41282,4.47552,3.94875e+06,8.61614e+06,768317,290338,0,0,96.504,98.274,2.07323,0,1,1.71463,1.43387,0,1.30784,2.1168,8.20631e+06,1.40708e+07,597683,338864,0,0
85.0218,85.139,2.47661,0.07,0,2.18295,2.46336,0,0.408905,4.47552,3.94875e+06,8.61992e+06,767352,290409,0,0,96.3977,98.274,2.31079,0,1,1.71463,1.43422,0,1.32473,2.1168,8.20631e+06,1.40708e+07,596932,338948,0,0
84.8546,85.139,2.39319,0.06,0,2.18391,2.46397,0,0.409085,4.47552,3.94875e+06,8.62371e+06,766387,290481,0,0,96.2464,98.274,2.14161,0,1,1.71463,1.43458,0,1.32473,2.1168,8.20631e+06,1.40708e+07,596181,339031,0,0
84.3952,85.139,2.18806,0.06,0,2.30178,2.58148,0,0.409264,4.47552,3.94875e+06,9.08915e+06,765421,304335,0,0,95.7466,98.274,1.8574,0,1,1.79221,1.51251,0,1.32473,2.1168,8.20631e+06,1.47074e+07,595430,357449,0,0
83.495,85.139,1.73726,0.05,0,2.38035,2.58212,0,0.431353,4.47552,3.94875e+06,9.39939e+06,552156,304410,0,0,95.3048,98.274,1.60651,0,1,1.71465,1.51288,0,1.38466,2.1168,8.20631e+06,1.4071e+07,429528,357537,0,0
82.5364,85.139,1.66054,0.04,0,2.38135,2.58275,0,0.446077,4.47552,3.94875e+06,9.40337e+06,551138,304485,0,0,94.8592,98.274,1.64283,0,1,1.71465,1.51325,0,1.32474,2.1168,8.20631e+06,1.4071e+07,428736,357625,0,0
81.5127,85.139,1.58468,0.04,0,2.38236,2.58339,0,0.446266,4.47552,3.94875e+06,9.40735e+06,550119,304560,0,0,94.3776,98.274,1.60238,0,1,1.71465,1.51362,0,1.32474,2.1168,8.20631e+06,1.4071e+07,427944,357713,0,0
80.3972,85.139,1.48135,0.04,0,2.38337,2.58402,0,0.446454,4.47552,3.94875e+06,9.41133e+06,549101,304635,0,0,94.439,98.274,1.50687,0,1,1.71465,1.514,0,1.32474,2.1168,8.20631e+06,1.4071e+07,427152,357801,0,0
79.8409,85.139,2.04624,0.02,0,2.36123,2.56151,0,0.446643,4.47552,3.94875e+06,9.3239e+06,548082,301980,0,0,94.4534,98.274,2.44718,0,1,1.75734,1.55706,0,1.32474,2.1168,8.20631e+06,1.44213e+07,426359,367978,0,0
79.1382,85.139,1.93229,0.02,0,2.40492,2.56214,0,0.442494,4.47552,3.94875e+06,9.49643e+06,430236,302055,0,0,94.4675,98.274,2.33358,0,1,1.71466,1.55744,0,1.35772,2.1168,8.20631e+06,1.40711e+07,334685,368068,0,0
78.2783,85.139,1.77092,0.05,0,2.40593,2.56277,0,0.450682,4.47552,3.94875e+06,9.50044e+06,429188,302129,0,0,94.3246,98.274,2.31323,0,1,1.71466,1.55783,0,1.32475,2.1168,8.20631e+06,1.40711e+07,333870,368159,0,0
77.2673,85.139,1.60132,0.04,0,2.40695,2.5634,0,0.450872,4.47552,3.94875e+06,9.50444e+06,428139,302203,0,0,94.1283,98.274,2.09585,0,1,1.71466,1.55821,0,1.32475,2.1168,8.20631e+06,1.40711e+07,333054,368249,0,0
76.09,85.139,1.4448,0.04,0,2.4678,2.62387,0,0.451062,4.47552,3.94875e+06,9.74473e+06,427090,309332,0,0,93.8065,98.274,1.91362,0,1,1.75275,1.59668,0,1.32475,2.1168,8.20631e+06,1.43836e+07,332238,377341,0,0
74.833,85.139,1.3797,0.04,0,2.50692,2.62452,0,0.462466,4.47552,3.94875e+06,9.89918e+06,321821,309408,0,0,93.4492,98.274,1.83031,0,1,1.71467,1.59707,0,1.35417,2.1168,8.20631e+06,1.40711e+07,250348,377433,0,0
73.4158,85.139,1.20717,0.04,0,2.50795,2.62516,0,0.469796,4.47552,3.94875e+06,9.90328e+06,206072,309485,0,0,93.0309,98.274,1.70526,0,1,1.71467,1.59746,0,1.32476,2.1168,8.20631e+06,1.40711e+07,134838,377526,0,0
71.9187,85.139,1.11362,0.04,0,2.50899,2.62581,0,0.469991,4.47552,3.94875e+06,9.90739e+06,88243.5,309561,0,0,92.6196,98.274,1.6457,0,1,1.71467,1.59786,0,1.32476,2.1168,8.20631e+06,1.40711e+07,17248.3,377619,0,0
70.1642,85.139,0.971518,0.04,0,2.68544,2.80186,0,0.470185,4.47552,3.94875e+06,1.06041e+07,0,330316,0,0,92.1991,98.274,1.65492,0,1,1.85228,1.73585,0,1.32476,2.1168,8.20631e+06,1.52003e+07,0,410231,0,0
68.3913,85.139,1.0492,0.04,0,2.80255,2.80255,0,0.503252,4.47552,3.94875e+06,1.10666e+07,0,330397,0,0,91.8826,98.274,1.79624,0,1,1.73628,1.73628,0,1.43107,2.1168,8.20631e+06,1.42484e+07,0,410332,0,0
