0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity
56.0841,85.139,1.97433,0.15,0,2.49583,2.49583,0,0.505678,4.47552,95.8446,98.274,2.96778,0,1,1.44632,1.44632,0,1.24187,2.1168
54.452,85.139,0.959867,0.15,0,2.49649,2.49649,0,0.467718,4.47552,95.7536,98.274,2.07994,0,1,1.4467,1.4467,0,1.11743,2.1168
52.6362,85.139,0.770325,0.16,0,2.49715,2.49715,0,0.467842,4.47552,95.7466,98.274,2.00131,0,1,1.44708,1.44708,0,1.11772,2.1168
51.7336,85.139,1.781,0.16,0,2.49781,2.49781,0,0.467965,4.47552,96.4112,98.274,4.86783,0,1,1.44746,1.44746,0,1.11802,2.1168
50.6278,85.139,1.46407,0.17,0,2.49847,2.49847,0,0.468089,4.47552,96.3443,98.274,2.24868,0,1,1.44785,1.44785,0,1.11831,2.1168
50.7046,85.139,2.75723,0.19,0,2.5774,2.5774,0,0.468212,4.47552,96.7372,98.274,3.38913,0,1,1.49505,1.49505,0,1.11861,2.1168
58.0699,85.139,10.2779,0.2,0,2.57806,2.57806,0,0.483005,4.47552,98.9022,98.274,7.79745,0,1,1.49543,1.49543,0,1.15507,2.1168
62.3721,85.139,7.3168,0.15,0,2.57872,2.57872,0,0.483129,4.47552,99.3022,98.274,6.15,0,1,1.49581,1.49581,0,1.15537,2.1168
71.8669,85.139,12.9869,0.16,0,2.57938,2.57938,0,0.483252,4.47552,99.3022,98.274,14.1147,0,1,1.49619,1.49619,0,1.15566,2.1168
76.4354,85.139,8.42019,0.1,0,2.83168,2.83168,0,0.483375,4.47552,99.3022,98.274,10.2788,0,1,1.67254,1.67254,0,1.15596,2.1168
77.1625,85.139,4.01204,0.07,0,2.83241,2.83241,0,0.530658,4.47552,99.3022,98.274,5.83361,0,1,1.67297,1.67297,0,1.2922,2.1168
79.7497,85.139,5.89697,0.07,0,2.83313,2.83313,0,0.530793,4.47552,99.3022,98.274,6.51932,0,1,1.67339,1.67339,0,1.29253,2.1168
82.6185,85.139,6.38961,0.04,0,2.83385,2.83385,0,0.530928,4.47552,99.3022,98.274,8.06116,0,1,1.67382,1.67382,0,1.29286,2.1168
84.6246,85.139,5.12134,0.04,0,2.47527,2.47527,0,0.531064,4.47552,99.3022,98.274,6.85076,0,1,1.43786,1.43786,0,1.29319,2.1168
