0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,1gross_rev,1cont_contrib,1drought_cost
48.8118,72.29,1.76532,0.13,0.24,2.64099,2.64099,0,0.507815,3.6288,7.60158e+06,0,0,0,0,3.96063e+06,177493,0,99.3022,98.274,4.45164,0,1,1.5732,1.5732,0,1.2735,2.1168,1.04507e+07,0,0,0,0,4.08305e+06,244166,0
46.9019,72.29,1.30774,0.13,0.24,2.64219,2.64219,0,0.494921,3.6288,7.77915e+06,0,0,0,0,3.96242e+06,177573,0,99.3022,98.274,3.84883,0,1,1.57392,1.57392,0,1.21546,2.1168,1.0695e+07,0,0,0,0,4.0849e+06,244277,0
47.9122,72.29,4.20375,0.14,0.24,2.64338,2.64338,0,0.495146,3.6288,7.9568e+06,0,0,0,0,3.96422e+06,177654,0,99.3022,98.274,5.75496,0,1,1.57463,1.57463,0,1.21601,2.1168,1.09393e+07,0,0,0,0,4.08675e+06,244388,0
50.2514,72.29,5.56276,0.14,0.24,2.64458,2.64458,0,0.49537,3.6288,8.13454e+06,0,0,0,0,3.96602e+06,177734,0,99.3022,98.274,8.29681,0,1,1.57534,1.57534,0,1.21656,2.1168,1.11838e+07,0,0,0,0,4.0886e+06,244498,0
52.6599,72.29,5.44361,0.13,0.24,2.44652,2.44652,0,0.495595,3.6288,8.29896e+06,0,0,0,0,3.66899e+06,164423,0,99.3022,98.274,7.88834,0,1,1.41775,1.41775,0,1.21711,2.1168,1.14039e+07,0,0,0,0,3.67958e+06,220039,0
55.8287,72.29,6.22111,0.13,0.24,2.44763,2.44763,0,0.458478,3.6288,8.46346e+06,0,0,0,0,3.67065e+06,164498,0,99.3022,98.274,14.1174,0,1,1.41839,1.41839,0,1.09535,2.1168,1.1624e+07,0,0,0,0,3.68125e+06,220139,0
59.4382,72.29,6.67073,0.1,0.24,2.44874,2.44874,0,0.458686,3.6288,8.62803e+06,0,0,0,0,3.67232e+06,164572,0,99.3022,98.274,15.662,0,1,1.41903,1.41903,0,1.09585,2.1168,1.18443e+07,0,0,0,0,3.68292e+06,220239,0
62.5436,72.29,6.17675,0.08,0.24,2.44985,2.44985,0,0.458894,3.6288,8.79268e+06,0,0,0,0,3.67398e+06,164647,0,99.3022,98.274,12.8975,0,1,1.41967,1.41967,0,1.09634,2.1168,1.20646e+07,0,0,0,0,3.68459e+06,220338,0
64.8708,72.29,5.42795,0.11,0.24,2.45096,2.45096,0,0.459102,3.6288,8.9574e+06,0,0,0,0,3.67564e+06,164721,0,99.3022,98.274,6.40656,0,1,1.42032,1.42032,0,1.09684,2.1168,1.2285e+07,0,0,0,0,3.68625e+06,220438,0
72.29,72.29,11.51,0.06,0.22,2.52886,2.52886,0,0.45931,3.6288,9.12735e+06,0,0,0,0,3.79247e+06,169957,0,99.3022,98.274,9.22378,0,1,1.46689,1.46689,0,1.09734,2.1168,1.25127e+07,0,0,9.03588e+07,0,3.80713e+06,227666,0
