0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost
3.08923e+07,0,0,8.09485e+07,0,2.70408e+07,155006,0
3.16364e+07,0,0,8.09485e+07,0,2.65349e+07,744073,0
3.23807e+07,0,0,8.09485e+07,0,2.65444e+07,744338,0
3.31253e+07,0,0,8.09485e+07,0,2.65538e+07,744602,0
3.37694e+07,0,0,8.09485e+07,0,2.29849e+07,644113,0
3.35265e+07,0,0,8.09485e+07,0,2.37695e+07,-242953,0
3.32864e+07,0,0,8.09485e+07,0,2.37754e+07,-240078,0
3.30492e+07,0,0,8.09485e+07,0,2.37812e+07,-237200,0
3.28149e+07,0,0,8.09485e+07,0,2.37871e+07,-234323,0
3.26084e+07,0,0,8.09485e+07,0,2.46806e+07,-206478,0
3.27051e+07,0,0,8.09485e+07,0,2.4424e+07,96704.4,0
3.28048e+07,0,0,8.09485e+07,0,2.443e+07,99699,0
3.29075e+07,0,0,8.09485e+07,0,2.44361e+07,102694,0
3.30035e+07,0,0,8.09485e+07,0,2.4096e+07,95954.7,0
3.29856e+07,0,0,8.09485e+07,0,2.42041e+07,-17848.9,0
3.29707e+07,0,0,8.09485e+07,0,2.42101e+07,-14896.4,0
3.29588e+07,0,0,8.09485e+07,0,2.42161e+07,-11943.8,0
3.29838e+07,0,0,8.09485e+07,0,2.5429e+07,25003.7,0
3.34265e+07,0,0,8.09485e+07,0,2.50725e+07,442751,0
3.38724e+07,0,0,8.09485e+07,0,2.50788e+07,445866,0
3.43214e+07,0,0,8.09485e+07,0,2.50851e+07,448980,0
3.47735e+07,0,0,8.09485e+07,0,2.50914e+07,452096,0
3.52377e+07,0,0,8.09485e+07,0,2.53824e+07,464187,0
3.59333e+07,0,0,8.09485e+07,0,2.5189e+07,695682,0
3.66322e+07,0,0,8.09485e+07,0,2.51953e+07,698883,0
3.73343e+07,0,0,8.09485e+07,0,2.52016e+07,702086,0
3.80566e+07,0,0,8.09485e+07,0,2.58117e+07,722265,0
3.87814e+07,0,0,8.09485e+07,0,2.58188e+07,724818,0
3.95065e+07,0,0,8.09485e+07,0,2.58279e+07,725074,0
4.02318e+07,0,0,8.09485e+07,0,2.58371e+07,725331,0
4.10142e+07,0,0,8.09485e+07,0,2.78511e+07,782406,0
4.17969e+07,0,0,8.09485e+07,0,2.7861e+07,782683,0
4.25798e+07,0,0,8.09485e+07,0,2.78708e+07,782960,0
4.33631e+07,0,0,8.09485e+07,0,2.78807e+07,783237,0
4.41466e+07,0,0,8.09485e+07,0,2.78905e+07,783514,0
4.48982e+07,0,0,8.09485e+07,0,2.67727e+07,751586,0
4.565e+07,0,0,8.09485e+07,0,2.67822e+07,751851,0
4.64021e+07,0,0,8.09485e+07,0,2.67916e+07,752117,0
4.71545e+07,0,0,8.09485e+07,0,2.68011e+07,752383,0
4.78787e+07,0,0,8.09485e+07,0,2.5816e+07,724148,0
4.86031e+07,0,0,8.09485e+07,0,2.58251e+07,724404,0
4.93277e+07,0,0,8.09485e+07,0,2.58342e+07,724660,0
5.00527e+07,0,0,8.09485e+07,0,2.58433e+07,724916,0
5.07124e+07,0,0,8.09485e+07,0,2.3546e+07,659777,0
5.06588e+07,0,0,8.09485e+07,0,2.41789e+07,-53633.7,0
5.06081e+07,0,0,8.09485e+07,0,2.41848e+07,-50706,0
5.05603e+07,0,0,8.09485e+07,0,2.41908e+07,-47778.2,0
5.05155e+07,0,0,8.09485e+07,0,2.41967e+07,-44849.2,0
5.04733e+07,0,0,8.09485e+07,0,2.41944e+07,-42153.4,0
4.96841e+07,0,0,8.09485e+07,9.73354e+06,2.56268e+07,-789238,0
4.88951e+07,0,0,8.09485e+07,0,2.56351e+07,-789007,0
4.81063e+07,0,0,8.09485e+07,0,2.56433e+07,-788775,0
4.73177e+07,0,0,8.09485e+07,0,2.56516e+07,-788543,0
4.66041e+07,0,0,8.09485e+07,0,2.83041e+07,-713690,0
4.58906e+07,0,0,8.09485e+07,0,2.83133e+07,-713433,0
4.51774e+07,0,0,8.09485e+07,0,2.83224e+07,-713176,0
4.44645e+07,0,0,8.09485e+07,0,2.83316e+07,-712918,0
4.36493e+07,0,0,8.09485e+07,0,2.46964e+07,-815274,0
4.28342e+07,0,0,8.09485e+07,0,2.47044e+07,-815051,0
4.20194e+07,0,0,8.09485e+07,0,2.47123e+07,-814829,0
4.12048e+07,0,0,8.09485e+07,0,2.47202e+07,-814606,0
4.03904e+07,0,0,8.09485e+07,0,2.47282e+07,-814383,0
3.96017e+07,0,0,8.09485e+07,0,2.56401e+07,-788735,0
3.88131e+07,0,0,8.09485e+07,0,2.56484e+07,-788504,0
3.80249e+07,0,0,8.09485e+07,0,2.56566e+07,-788272,0
3.72368e+07,0,0,8.09485e+07,0,2.56649e+07,-788041,0
3.64391e+07,0,0,8.09485e+07,0,2.53206e+07,-797724,0
3.56416e+07,0,0,8.09485e+07,0,2.53287e+07,-797496,0
3.48443e+07,0,0,8.09485e+07,0,2.53368e+07,-797267,0
3.40473e+07,0,0,8.09485e+07,0,2.5345e+07,-797039,0
3.32851e+07,0,0,8.09485e+07,0,2.65821e+07,-762197,0
3.25232e+07,0,0,8.09485e+07,0,2.65906e+07,-761957,0
3.17614e+07,0,0,8.09485e+07,0,2.65992e+07,-761717,0
3.1e+07,0,0,8.09485e+07,0,2.66078e+07,-761476,0
3.02387e+07,0,0,8.09485e+07,0,2.66164e+07,-761236,0
2.94869e+07,0,0,8.09485e+07,0,2.69148e+07,-751858,0
2.87353e+07,0,0,8.09485e+07,0,2.69235e+07,-751614,0
2.79839e+07,0,0,8.09485e+07,0,2.69321e+07,-751371,0
2.72328e+07,0,0,8.09485e+07,0,2.69408e+07,-751127,0
2.64992e+07,0,0,8.09485e+07,0,2.75641e+07,-733600,0
2.57658e+07,0,0,8.09485e+07,0,2.7573e+07,-733350,0
2.50327e+07,0,0,8.09485e+07,0,2.75819e+07,-733100,0
2.42999e+07,0,0,8.09485e+07,0,2.75908e+07,-732851,0
2.50964e+07,0,0,8.09485e+07,0,2.83532e+07,796511,0
2.58931e+07,0,0,8.09485e+07,0,2.83628e+07,796780,0
2.66902e+07,0,0,8.09485e+07,0,2.83724e+07,797049,0
2.74875e+07,0,0,8.09485e+07,0,2.8382e+07,797319,0
2.82851e+07,0,0,8.09485e+07,0,2.83916e+07,797588,0
2.75789e+07,0,0,8.09485e+07,0,2.85407e+07,-706195,0
2.6873e+07,0,0,8.09485e+07,0,2.85499e+07,-705937,0
2.61673e+07,0,0,8.09485e+07,0,2.85591e+07,-705678,0
2.54619e+07,0,0,8.09485e+07,0,2.85683e+07,-705420,0
2.47277e+07,0,0,8.09485e+07,0,2.75651e+07,-734172,0
2.39938e+07,0,0,8.09485e+07,0,2.7574e+07,-733923,0
2.32601e+07,0,0,8.09485e+07,0,2.75829e+07,-733675,0
2.25267e+07,0,0,8.09485e+07,0,2.75917e+07,-733426,0
2.17269e+07,0,0,8.09485e+07,0,2.52531e+07,-799736,0
2.09274e+07,0,0,8.09485e+07,0,2.52612e+07,-799509,0
2.01281e+07,0,0,8.09485e+07,0,2.52693e+07,-799283,0
1.93291e+07,0,0,8.09485e+07,0,2.52773e+07,-799056,0
1.85303e+07,0,0,8.09485e+07,0,2.52854e+07,-798829,0
1.77531e+07,0,0,8.09485e+07,9.73354e+06,2.60586e+07,-777140,0
1.69762e+07,0,0,8.09485e+07,0,2.60666e+07,-776915,0
1.61995e+07,0,0,8.09485e+07,0,2.60746e+07,-776690,0
1.54231e+07,0,0,8.09485e+07,0,2.60826e+07,-776465,0
1.47228e+07,0,0,8.09485e+07,0,2.87816e+07,-700300,0
1.40227e+07,0,0,8.09485e+07,0,2.87905e+07,-700051,0
1.33229e+07,0,0,8.09485e+07,0,2.87994e+07,-699801,0
1.26234e+07,0,0,8.09485e+07,0,2.88083e+07,-699551,0
1.18196e+07,0,0,8.09485e+07,0,2.51087e+07,-803721,0
1.10161e+07,0,0,8.09485e+07,0,2.51164e+07,-803505,0
